id,area,delay,status,recipe,ADP,delay_bucket
321,17346.39,865.47,SUCCESS,refactor | resub -z | resub | resub | rewrite -z | resub -z | refactor | refactor -z | balance | rewrite | refactor -z | rewrite -z | rewrite | resub -z | refactor | rewrite | balance | resub -z | rewrite -z | balance,15012780.1533,4
5366,17448.54,864.66,SUCCESS,refactor | refactor -z | resub -z | rewrite | refactor -z | refactor | rewrite -z | balance | resub -z | rewrite -z | rewrite -z | rewrite -z | refactor | resub -z | balance | rewrite | balance | rewrite -z | rewrite -z | balance,15087054.5964,4
4078,17454.12,871.69,SUCCESS,rewrite | refactor -z | balance | refactor -z | refactor | refactor | resub | rewrite | balance | rewrite | refactor | refactor -z | refactor -z | resub -z | resub -z | resub | refactor -z | refactor | rewrite | balance,15214581.8628,4
7865,17478.06,873.75,SUCCESS,refactor | refactor -z | refactor -z | resub -z | refactor | refactor | resub | rewrite | refactor -z | refactor | balance | balance | refactor | rewrite | refactor | resub -z | balance | resub | rewrite | rewrite,15271454.925,4
3366,17538.18,875.47,SUCCESS,refactor -z | resub -z | balance | resub -z | resub -z | resub | resub | balance | refactor -z | refactor -z | resub | balance | balance | resub -z | rewrite | refactor | balance | rewrite | resub -z | rewrite,15354150.444600001,4
8852,16972.13,890.63,SUCCESS,refactor -z | refactor -z | refactor -z | refactor | refactor | resub | refactor -z | refactor -z | resub -z | refactor | refactor | refactor -z | resub | refactor -z | resub | rewrite | balance | refactor -z | refactor -z | balance,15115888.141900001,5
6206,17002.99,892.14,SUCCESS,refactor -z | refactor -z | refactor -z | refactor -z | resub | refactor -z | rewrite | resub -z | balance | rewrite | refactor -z | resub -z | balance | refactor | resub | rewrite -z | refactor -z | rewrite | resub -z | refactor -z,15169047.4986,5
4540,17170.3,898.75,SUCCESS,refactor -z | refactor -z | balance | resub -z | rewrite | resub | resub -z | balance | refactor | refactor -z | resub -z | rewrite | rewrite | refactor -z | resub -z | refactor | resub | refactor -z | balance | refactor,15431807.125,5
4026,17174.29,881.74,SUCCESS,rewrite | rewrite | resub | refactor -z | rewrite | refactor -z | refactor -z | refactor | refactor | rewrite | refactor -z | balance | refactor -z | balance | refactor | resub -z | refactor -z | refactor -z | balance | refactor,15143258.4646,5
7737,17244.78,899.66,SUCCESS,resub -z | rewrite -z | refactor -z | rewrite | refactor -z | resub | rewrite | rewrite | resub | refactor -z | rewrite | resub -z | balance | rewrite | resub | balance | resub -z | balance | resub -z | balance,15514438.774799999,5
